England and Wales Code,England and Wales,Passports held (18 categories) Code,Passports held (18 categories),Highest level of qualification (8 categories) Code,Highest level of qualification (8 categories),Observation
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",12010
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",9713
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,3,Apprenticeship,6827
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",12812
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",54417
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",6636
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,4054
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",0,No qualifications,3847
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",2198
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",3650
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",3,Apprenticeship,1924
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",9276
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",47466
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",2453
K04000001,England and Wales,16,British Overseas Territories,-8,Does not apply,151
K04000001,England and Wales,16,British Overseas Territories,0,No qualifications,89
K04000001,England and Wales,16,British Overseas Territories,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",67
